cand1,cand2,week,poll_gap,pro_gap,con_gap,state
Carson,Cruz,2015-11-20,2.3,0.0,0.0,Iowa
Carson,Rubio,2015-11-20,3.0,5.0,0.0,Iowa
Carson,Trump,2015-11-20,1.4,5.0,0.0,Iowa
Cruz,Rubio,2015-11-20,0.7,5.0,0.0,Iowa
Cruz,Trump,2015-11-20,-0.9,5.0,0.0,Iowa
Rubio,Trump,2015-11-20,-1.6,0.0,0.0,Iowa
Carson,Cruz,2015-11-21,-0.1,0.5,0.0,Iowa
Carson,Rubio,2015-11-21,1.3,3.5,0.0,Iowa
Carson,Trump,2015-11-21,1.3,3.5,0.0,Iowa
Cruz,Rubio,2015-11-21,1.4,3.0,0.0,Iowa
Cruz,Trump,2015-11-21,1.4,3.0,0.0,Iowa
Rubio,Trump,2015-11-21,0.0,0.0,0.0,Iowa
Carson,Cruz,2015-11-22,-1.4,-0.333333333333,0.0,Iowa
Carson,Rubio,2015-11-22,2.7,3.33333333333,0.0,Iowa
Carson,Trump,2015-11-22,2.5,3.66666666667,0.0,Iowa
Cruz,Rubio,2015-11-22,4.1,3.66666666667,0.0,Iowa
Cruz,Trump,2015-11-22,3.9,4.0,0.0,Iowa
Rubio,Trump,2015-11-22,-0.2,0.333333333333,0.0,Iowa
Carson,Cruz,2015-11-23,-1.4,-0.5,0.0,Iowa
Carson,Rubio,2015-11-23,2.7,4.5,0.0,Iowa
Carson,Trump,2015-11-23,2.5,4.75,0.0,Iowa
Cruz,Rubio,2015-11-23,4.1,5.0,0.0,Iowa
Cruz,Trump,2015-11-23,3.9,5.25,0.0,Iowa
Rubio,Trump,2015-11-23,-0.2,0.25,0.0,Iowa
Carson,Cruz,2015-11-24,-4.1,-0.8,-0.8,Iowa
Carson,Rubio,2015-11-24,1.5,4.6,0.0,Iowa
Carson,Trump,2015-11-24,2.0,4.8,0.0,Iowa
Cruz,Rubio,2015-11-24,5.6,5.4,0.8,Iowa
Cruz,Trump,2015-11-24,6.1,5.6,0.8,Iowa
Rubio,Trump,2015-11-24,0.5,0.2,0.0,Iowa
Carson,Cruz,2015-11-25,-4.1,-1.83333333333,-1.83333333333,Iowa
Carson,Rubio,2015-11-25,1.5,4.16666666667,0.0,Iowa
Carson,Trump,2015-11-25,2.0,4.33333333333,0.0,Iowa
Cruz,Rubio,2015-11-25,5.6,6.0,1.83333333333,Iowa
Cruz,Trump,2015-11-25,6.1,6.16666666667,1.83333333333,Iowa
Rubio,Trump,2015-11-25,0.5,0.166666666667,0.0,Iowa
Carson,Cruz,2015-11-26,-4.2,-2.14285714286,-2.0,Iowa
Carson,Rubio,2015-11-26,0.1,3.57142857143,0.0,Iowa
Carson,Trump,2015-11-26,1.2,3.71428571429,0.0,Iowa
Cruz,Rubio,2015-11-26,4.3,5.71428571429,2.0,Iowa
Cruz,Trump,2015-11-26,5.4,5.85714285714,2.0,Iowa
Rubio,Trump,2015-11-26,1.1,0.142857142857,0.0,Iowa
Carson,Cruz,2015-11-27,-4.2,-2.42857142857,-2.14285714286,Iowa
Carson,Rubio,2015-11-27,0.1,2.85714285714,0.0,Iowa
Carson,Trump,2015-11-27,1.2,3.0,0.0,Iowa
Cruz,Rubio,2015-11-27,4.3,5.28571428571,2.14285714286,Iowa
Cruz,Trump,2015-11-27,5.4,5.42857142857,2.14285714286,Iowa
Rubio,Trump,2015-11-27,1.1,0.142857142857,0.0,Iowa
Carson,Cruz,2015-11-28,-4.5,-2.14285714286,-2.14285714286,Iowa
Carson,Rubio,2015-11-28,-0.3,3.14285714286,0.0,Iowa
Carson,Trump,2015-11-28,0.5,3.28571428571,0.0,Iowa
Cruz,Rubio,2015-11-28,4.2,5.28571428571,2.14285714286,Iowa
Cruz,Trump,2015-11-28,5.0,5.42857142857,2.14285714286,Iowa
Rubio,Trump,2015-11-28,0.8,0.142857142857,0.0,Iowa
Carson,Cruz,2015-11-29,-3.2,-1.0,-3.28571428571,Iowa
Carson,Rubio,2015-11-29,-1.7,4.57142857143,0.0,Iowa
Carson,Trump,2015-11-29,-0.7,4.57142857143,0.0,Iowa
Cruz,Rubio,2015-11-29,1.5,5.57142857143,3.28571428571,Iowa
Cruz,Trump,2015-11-29,2.5,5.57142857143,3.28571428571,Iowa
Rubio,Trump,2015-11-29,1.0,0.0,0.0,Iowa
Carson,Cruz,2015-11-30,-3.2,-0.428571428571,-4.0,Iowa
Carson,Rubio,2015-11-30,-1.7,4.57142857143,0.0,Iowa
Carson,Trump,2015-11-30,-0.7,4.57142857143,0.0,Iowa
Cruz,Rubio,2015-11-30,1.5,5.0,4.0,Iowa
Cruz,Trump,2015-11-30,2.5,5.0,4.0,Iowa
Rubio,Trump,2015-11-30,1.0,0.0,0.0,Iowa
Carson,Cruz,2015-12-01,-0.5,0.571428571429,-5.71428571429,Iowa
Carson,Rubio,2015-12-01,-0.5,1.71428571429,0.0,Iowa
Carson,Trump,2015-12-01,-0.2,6.42857142857,0.0,Iowa
Cruz,Rubio,2015-12-01,0.0,1.14285714286,5.71428571429,Iowa
Cruz,Trump,2015-12-01,0.3,5.85714285714,5.71428571429,Iowa
Rubio,Trump,2015-12-01,0.3,4.71428571429,0.0,Iowa
Carson,Cruz,2015-12-02,1.4,2.14285714286,-6.57142857143,Iowa
Carson,Rubio,2015-12-02,1.5,-3.57142857143,0.0,Iowa
Carson,Trump,2015-12-02,0.3,8.28571428571,0.0,Iowa
Cruz,Rubio,2015-12-02,0.1,-5.71428571429,6.57142857143,Iowa
Cruz,Trump,2015-12-02,-1.1,6.14285714286,6.57142857143,Iowa
Rubio,Trump,2015-12-02,-1.2,11.8571428571,0.0,Iowa
Carson,Cruz,2015-12-03,1.4,2.85714285714,-8.28571428571,Iowa
Carson,Rubio,2015-12-03,1.5,-9.0,0.0,Iowa
Carson,Trump,2015-12-03,0.3,10.5714285714,0.0,Iowa
Cruz,Rubio,2015-12-03,0.1,-11.8571428571,8.28571428571,Iowa
Cruz,Trump,2015-12-03,-1.1,7.71428571429,8.28571428571,Iowa
Rubio,Trump,2015-12-03,-1.2,19.5714285714,0.0,Iowa
Carson,Cruz,2015-12-04,-2.0,3.14285714286,-9.57142857143,Iowa
Carson,Rubio,2015-12-04,1.3,-14.4285714286,0.0,Iowa
Carson,Trump,2015-12-04,1.8,12.7142857143,0.0,Iowa
Cruz,Rubio,2015-12-04,3.3,-17.5714285714,9.57142857143,Iowa
Cruz,Trump,2015-12-04,3.8,9.57142857143,9.57142857143,Iowa
Rubio,Trump,2015-12-04,0.5,27.1428571429,0.0,Iowa
Carson,Cruz,2015-12-05,-1.5,4.0,-10.1428571429,Iowa
Carson,Rubio,2015-12-05,1.8,-16.4285714286,0.0,Iowa
Carson,Trump,2015-12-05,2.0,14.0,0.0,Iowa
Cruz,Rubio,2015-12-05,3.3,-20.4285714286,10.1428571429,Iowa
Cruz,Trump,2015-12-05,3.5,10.0,10.1428571429,Iowa
Rubio,Trump,2015-12-05,0.2,30.4285714286,0.0,Iowa
Carson,Cruz,2015-12-06,1.8,3.71428571429,-10.8571428571,Iowa
Carson,Rubio,2015-12-06,4.1,-19.1428571429,0.0,Iowa
Carson,Trump,2015-12-06,3.0,14.5714285714,0.0,Iowa
Cruz,Rubio,2015-12-06,2.3,-22.8571428571,10.8571428571,Iowa
Cruz,Trump,2015-12-06,1.2,10.8571428571,10.8571428571,Iowa
Rubio,Trump,2015-12-06,-1.1,33.7142857143,0.0,Iowa
Carson,Cruz,2015-12-07,0.5,1.71428571429,-12.4285714286,Iowa
Carson,Rubio,2015-12-07,2.1,-23.8571428571,0.0,Iowa
Carson,Trump,2015-12-07,2.4,13.7142857143,0.0,Iowa
Cruz,Rubio,2015-12-07,1.6,-25.5714285714,12.4285714286,Iowa
Cruz,Trump,2015-12-07,1.9,12.0,12.4285714286,Iowa
Rubio,Trump,2015-12-07,0.3,37.5714285714,0.0,Iowa
Carson,Cruz,2015-12-08,1.1,-2.71428571429,-14.2857142857,Iowa
Carson,Rubio,2015-12-08,2.3,-32.1428571429,-3.0,Iowa
Carson,Trump,2015-12-08,3.2,11.1428571429,0.0,Iowa
Cruz,Rubio,2015-12-08,1.2,-29.4285714286,11.2857142857,Iowa
Cruz,Trump,2015-12-08,2.1,13.8571428571,14.2857142857,Iowa
Rubio,Trump,2015-12-08,0.9,43.2857142857,3.0,Iowa
Carson,Cruz,2015-12-09,-0.8,-7.0,-18.0,Iowa
Carson,Rubio,2015-12-09,0.3,-40.8571428571,-8.57142857143,Iowa
Carson,Trump,2015-12-09,2.7,9.0,0.0,Iowa
Cruz,Rubio,2015-12-09,1.1,-33.8571428571,9.42857142857,Iowa
Cruz,Trump,2015-12-09,3.5,16.0,18.0,Iowa
Rubio,Trump,2015-12-09,2.4,49.8571428571,8.57142857143,Iowa
