date,pro,con,cand
2016-01-09,29,0,Rand Paul
2016-01-10,30,0,Rand Paul
2016-01-16,29,0,Rand Paul
2016-01-19,22,0,Rand Paul
2016-01-20,39,0,Rand Paul
2016-01-21,34,0,Rand Paul
2016-01-22,34,0,Rand Paul
2016-01-23,17,0,Rand Paul
2016-01-24,14,0,Rand Paul
2016-01-25,14,0,Rand Paul
2016-01-26,33,0,Rand Paul
2016-01-27,59,0,Rand Paul
2016-01-28,39,0,Rand Paul
2016-01-29,48,0,Rand Paul
2016-01-30,27,0,Rand Paul
2016-01-31,30,0,Rand Paul
2016-02-01,22,0,Rand Paul
2015-11-20,14,0,Jeb Bush
2015-11-21,10,0,Jeb Bush
2015-11-22,6,0,Jeb Bush
2015-11-23,8,0,Jeb Bush
2015-11-24,5,0,Jeb Bush
2015-11-25,10,0,Jeb Bush
2015-11-26,11,0,Jeb Bush
2015-11-27,11,0,Jeb Bush
2015-11-28,10,0,Jeb Bush
2015-11-29,6,0,Jeb Bush
2015-11-30,16,0,Jeb Bush
2015-12-01,48,0,Jeb Bush
2015-12-02,47,0,Jeb Bush
2015-12-03,56,0,Jeb Bush
2015-12-04,54,0,Jeb Bush
2015-12-05,32,0,Jeb Bush
2015-12-06,20,0,Jeb Bush
2015-12-07,34,0,Jeb Bush
2015-12-08,49,1,Jeb Bush
2015-12-09,50,3,Jeb Bush
2015-12-10,47,0,Jeb Bush
2015-12-11,48,0,Jeb Bush
2015-12-12,31,0,Jeb Bush
2015-12-13,19,1,Jeb Bush
2015-12-14,33,0,Jeb Bush
2015-12-15,54,0,Jeb Bush
2015-12-16,59,0,Jeb Bush
2015-12-17,46,0,Jeb Bush
2015-12-18,52,0,Jeb Bush
2015-12-19,39,0,Jeb Bush
2015-12-20,13,0,Jeb Bush
2015-12-21,29,0,Jeb Bush
2015-12-22,45,0,Jeb Bush
2015-12-23,43,0,Jeb Bush
2015-12-24,37,0,Jeb Bush
2015-12-25,4,0,Jeb Bush
2015-12-26,11,0,Jeb Bush
2015-12-27,26,0,Jeb Bush
2015-12-28,45,0,Jeb Bush
2015-12-29,66,0,Jeb Bush
2015-12-30,40,0,Jeb Bush
2015-12-31,9,0,Jeb Bush
2016-01-01,8,3,Jeb Bush
2016-01-02,2,5,Jeb Bush
2016-01-03,6,7,Jeb Bush
2016-01-04,0,0,Jeb Bush
2016-01-05,0,0,Jeb Bush
2016-01-06,0,0,Jeb Bush
2016-01-07,0,0,Jeb Bush
2016-01-08,0,0,Jeb Bush
2016-01-09,0,0,Jeb Bush
2016-01-10,0,0,Jeb Bush
2016-01-11,3,112,Jeb Bush
2016-01-12,86,188,Jeb Bush
2016-01-13,112,143,Jeb Bush
2016-01-14,134,107,Jeb Bush
2016-01-15,130,104,Jeb Bush
2016-01-16,48,67,Jeb Bush
2016-01-17,44,54,Jeb Bush
2016-01-18,69,112,Jeb Bush
2016-01-19,108,118,Jeb Bush
2016-01-20,107,128,Jeb Bush
2016-01-21,117,99,Jeb Bush
2016-01-22,52,39,Jeb Bush
2016-01-23,26,23,Jeb Bush
2016-01-24,16,5,Jeb Bush
2016-01-25,27,2,Jeb Bush
2016-01-26,39,2,Jeb Bush
2016-01-27,26,1,Jeb Bush
2016-01-28,20,0,Jeb Bush
2016-01-29,18,0,Jeb Bush
2016-01-30,10,0,Jeb Bush
2016-01-31,7,0,Jeb Bush
2016-02-01,1,0,Jeb Bush
2015-12-08,0,0,Donald Trump
2015-12-09,0,0,Donald Trump
2015-12-10,0,0,Donald Trump
2015-12-11,0,0,Donald Trump
2015-12-12,0,0,Donald Trump
2015-12-13,0,0,Donald Trump
2015-12-14,0,0,Donald Trump
2015-12-15,0,0,Donald Trump
2015-12-16,0,0,Donald Trump
2015-12-17,1,23,Donald Trump
2015-12-18,1,31,Donald Trump
2015-12-19,0,0,Donald Trump
