cand,date,rcp
Trump,2016-02-01 00:00:00,28.6
Cruz,2016-02-01 00:00:00,23.9
Rubio,2016-02-01 00:00:00,16.9
Carson,2016-02-01 00:00:00,7.7
Paul,2016-02-01 00:00:00,4.1
Bush,2016-02-01 00:00:00,4.1
Huckabee,2016-02-01 00:00:00,3.1
Kasich,2016-02-01 00:00:00,2.9
Fiorina,2016-02-01 00:00:00,2.6
Christie,2016-02-01 00:00:00,2.4
Santorum,2016-02-01 00:00:00,1.1
Walker,2016-02-01 00:00:00,
Jindal,2016-02-01 00:00:00,
Perry,2016-02-01 00:00:00,
Graham,2016-02-01 00:00:00,
Pataki,2016-02-01 00:00:00,
Trump,2016-01-31 00:00:00,30.4
Cruz,2016-01-31 00:00:00,24.2
Rubio,2016-01-31 00:00:00,15.2
Carson,2016-01-31 00:00:00,8.8
Paul,2016-01-31 00:00:00,3.2
Bush,2016-01-31 00:00:00,4.0
Huckabee,2016-01-31 00:00:00,2.6
Kasich,2016-01-31 00:00:00,2.6
Fiorina,2016-01-31 00:00:00,2.4
Christie,2016-01-31 00:00:00,2.4
Santorum,2016-01-31 00:00:00,1.0
Walker,2016-01-31 00:00:00,
Jindal,2016-01-31 00:00:00,
Perry,2016-01-31 00:00:00,
Graham,2016-01-31 00:00:00,
Pataki,2016-01-31 00:00:00,
Trump,2016-01-30 00:00:00,30.8
Cruz,2016-01-30 00:00:00,24.5
Rubio,2016-01-30 00:00:00,14.5
Carson,2016-01-30 00:00:00,8.5
Paul,2016-01-30 00:00:00,3.3
Bush,2016-01-30 00:00:00,3.8
Huckabee,2016-01-30 00:00:00,2.5
Kasich,2016-01-30 00:00:00,2.7
Fiorina,2016-01-30 00:00:00,2.2
Christie,2016-01-30 00:00:00,2.7
Santorum,2016-01-30 00:00:00,1.0
Walker,2016-01-30 00:00:00,
Jindal,2016-01-30 00:00:00,
Perry,2016-01-30 00:00:00,
Graham,2016-01-30 00:00:00,
Pataki,2016-01-30 00:00:00,
Trump,2016-01-29 00:00:00,31.4
Cruz,2016-01-29 00:00:00,24.8
Rubio,2016-01-29 00:00:00,14.4
Carson,2016-01-29 00:00:00,8.2
Paul,2016-01-29 00:00:00,3.0
Bush,2016-01-29 00:00:00,4.2
Huckabee,2016-01-29 00:00:00,2.6
Kasich,2016-01-29 00:00:00,2.8
Fiorina,2016-01-29 00:00:00,2.2
Christie,2016-01-29 00:00:00,2.6
Santorum,2016-01-29 00:00:00,0.8
Walker,2016-01-29 00:00:00,
Jindal,2016-01-29 00:00:00,
Perry,2016-01-29 00:00:00,
Graham,2016-01-29 00:00:00,
Pataki,2016-01-29 00:00:00,
Trump,2016-01-28 00:00:00,32.9
Cruz,2016-01-28 00:00:00,26.1
Rubio,2016-01-28 00:00:00,13.9
Carson,2016-01-28 00:00:00,7.6
Paul,2016-01-28 00:00:00,3.9
Bush,2016-01-28 00:00:00,3.4
Huckabee,2016-01-28 00:00:00,2.1
Kasich,2016-01-28 00:00:00,2.0
Fiorina,2016-01-28 00:00:00,1.6
Christie,2016-01-28 00:00:00,2.7
Santorum,2016-01-28 00:00:00,0.9
Walker,2016-01-28 00:00:00,
Jindal,2016-01-28 00:00:00,
Perry,2016-01-28 00:00:00,
Graham,2016-01-28 00:00:00,
Pataki,2016-01-28 00:00:00,
Trump,2016-01-27 00:00:00,32.7
Cruz,2016-01-27 00:00:00,26.9
Rubio,2016-01-27 00:00:00,12.6
Carson,2016-01-27 00:00:00,7.6
Paul,2016-01-27 00:00:00,3.7
Bush,2016-01-27 00:00:00,3.7
Huckabee,2016-01-27 00:00:00,2.3
Kasich,2016-01-27 00:00:00,2.0
Fiorina,2016-01-27 00:00:00,1.4
Christie,2016-01-27 00:00:00,2.9
Santorum,2016-01-27 00:00:00,1.0
Walker,2016-01-27 00:00:00,
Jindal,2016-01-27 00:00:00,
Perry,2016-01-27 00:00:00,
Graham,2016-01-27 00:00:00,
Pataki,2016-01-27 00:00:00,
Trump,2016-01-26 00:00:00,33.2
Cruz,2016-01-26 00:00:00,27.5
Rubio,2016-01-26 00:00:00,12.0
Carson,2016-01-26 00:00:00,7.2
Paul,2016-01-26 00:00:00,3.8
Bush,2016-01-26 00:00:00,3.7
Huckabee,2016-01-26 00:00:00,2.2
Kasich,2016-01-26 00:00:00,1.8
Fiorina,2016-01-26 00:00:00,1.3
Christie,2016-01-26 00:00:00,3.0
Santorum,2016-01-26 00:00:00,1.0
Walker,2016-01-26 00:00:00,
Jindal,2016-01-26 00:00:00,
Perry,2016-01-26 00:00:00,
Graham,2016-01-26 00:00:00,
Pataki,2016-01-26 00:00:00,
Trump,2016-01-25 00:00:00,33.6
Cruz,2016-01-25 00:00:00,27.2
Rubio,2016-01-25 00:00:00,11.8
Carson,2016-01-25 00:00:00,7.2
Paul,2016-01-25 00:00:00,3.6
Bush,2016-01-25 00:00:00,3.6
Huckabee,2016-01-25 00:00:00,2.2
Kasich,2016-01-25 00:00:00,2.0
Fiorina,2016-01-25 00:00:00,1.4
Christie,2016-01-25 00:00:00,3.0
Santorum,2016-01-25 00:00:00,1.2
Walker,2016-01-25 00:00:00,
Jindal,2016-01-25 00:00:00,
Perry,2016-01-25 00:00:00,
Graham,2016-01-25 00:00:00,
Pataki,2016-01-25 00:00:00,
Trump,2016-01-24 00:00:00,32.2
Cruz,2016-01-24 00:00:00,27.0
Rubio,2016-01-24 00:00:00,12.2
Carson,2016-01-24 00:00:00,7.4
Paul,2016-01-24 00:00:00,3.4
Bush,2016-01-24 00:00:00,4.2
Huckabee,2016-01-24 00:00:00,2.4
Kasich,2016-01-24 00:00:00,2.2
Fiorina,2016-01-24 00:00:00,1.6
Christie,2016-01-24 00:00:00,2.8
Santorum,2016-01-24 00:00:00,1.2
Walker,2016-01-24 00:00:00,
Jindal,2016-01-24 00:00:00,
Perry,2016-01-24 00:00:00,
Graham,2016-01-24 00:00:00,
Pataki,2016-01-24 00:00:00,
Trump,2016-01-23 00:00:00,30.0
Cruz,2016-01-23 00:00:00,26.4
Rubio,2016-01-23 00:00:00,10.8
Carson,2016-01-23 00:00:00,8.4
Paul,2016-01-23 00:00:00,2.8
Bush,2016-01-23 00:00:00,5.2
Huckabee,2016-01-23 00:00:00,3.0
Kasich,2016-01-23 00:00:00,3.0
Fiorina,2016-01-23 00:00:00,2.0
Christie,2016-01-23 00:00:00,3.2
Santorum,2016-01-23 00:00:00,1.0
Walker,2016-01-23 00:00:00,
Jindal,2016-01-23 00:00:00,
Perry,2016-01-23 00:00:00,
Graham,2016-01-23 00:00:00,
Pataki,2016-01-23 00:00:00,
Trump,2016-01-22 00:00:00,28.7
Cruz,2016-01-22 00:00:00,26.0
Rubio,2016-01-22 00:00:00,10.9
Carson,2016-01-22 00:00:00,8.7
Paul,2016-01-22 00:00:00,3.3
Bush,2016-01-22 00:00:00,4.7
