cand,date,rcp
Trump,2016-01-30 00:00:00,35.8
Cruz,2016-01-30 00:00:00,19.6
Rubio,2016-01-30 00:00:00,10.2
Carson,2016-01-30 00:00:00,7.6
Bush,2016-01-30 00:00:00,4.8
Christie,2016-01-30 00:00:00,3.0
Paul,2016-01-30 00:00:00,2.4
Kasich,2016-01-30 00:00:00,2.4
Huckabee,2016-01-30 00:00:00,2.2
Fiorina,2016-01-30 00:00:00,1.8
Santorum,2016-01-30 00:00:00,0.4
Walker,2016-01-30 00:00:00,
Jindal,2016-01-30 00:00:00,
Perry,2016-01-30 00:00:00,
Graham,2016-01-30 00:00:00,
Pataki,2016-01-30 00:00:00,
Trump,2016-01-29 00:00:00,35.3
Cruz,2016-01-29 00:00:00,19.7
Rubio,2016-01-29 00:00:00,10.7
Carson,2016-01-29 00:00:00,8.3
Bush,2016-01-29 00:00:00,4.8
Christie,2016-01-29 00:00:00,3.3
Paul,2016-01-29 00:00:00,2.5
Kasich,2016-01-29 00:00:00,2.5
Huckabee,2016-01-29 00:00:00,2.0
Fiorina,2016-01-29 00:00:00,2.0
Santorum,2016-01-29 00:00:00,0.3
Walker,2016-01-29 00:00:00,
Jindal,2016-01-29 00:00:00,
Perry,2016-01-29 00:00:00,
Graham,2016-01-29 00:00:00,
Pataki,2016-01-29 00:00:00,
Trump,2016-01-28 00:00:00,35.3
Cruz,2016-01-28 00:00:00,19.7
Rubio,2016-01-28 00:00:00,10.7
Carson,2016-01-28 00:00:00,8.3
Bush,2016-01-28 00:00:00,4.8
Christie,2016-01-28 00:00:00,3.3
Paul,2016-01-28 00:00:00,2.5
Kasich,2016-01-28 00:00:00,2.5
Huckabee,2016-01-28 00:00:00,2.0
Fiorina,2016-01-28 00:00:00,2.0
Santorum,2016-01-28 00:00:00,0.3
Walker,2016-01-28 00:00:00,
Jindal,2016-01-28 00:00:00,
Perry,2016-01-28 00:00:00,
Graham,2016-01-28 00:00:00,
Pataki,2016-01-28 00:00:00,
Trump,2016-01-27 00:00:00,36.2
Cruz,2016-01-27 00:00:00,19.3
Rubio,2016-01-27 00:00:00,11.0
Carson,2016-01-27 00:00:00,7.8
Bush,2016-01-27 00:00:00,5.0
Christie,2016-01-27 00:00:00,3.7
Paul,2016-01-27 00:00:00,2.0
Kasich,2016-01-27 00:00:00,2.5
Huckabee,2016-01-27 00:00:00,2.5
Fiorina,2016-01-27 00:00:00,2.2
Santorum,2016-01-27 00:00:00,0.2
Walker,2016-01-27 00:00:00,
Jindal,2016-01-27 00:00:00,
Perry,2016-01-27 00:00:00,
Graham,2016-01-27 00:00:00,
Pataki,2016-01-27 00:00:00,
Trump,2016-01-26 00:00:00,36.2
Cruz,2016-01-26 00:00:00,19.3
Rubio,2016-01-26 00:00:00,11.0
Carson,2016-01-26 00:00:00,7.8
Bush,2016-01-26 00:00:00,5.0
Christie,2016-01-26 00:00:00,3.7
Paul,2016-01-26 00:00:00,2.0
Kasich,2016-01-26 00:00:00,2.5
Huckabee,2016-01-26 00:00:00,2.5
Fiorina,2016-01-26 00:00:00,2.2
Santorum,2016-01-26 00:00:00,0.2
Walker,2016-01-26 00:00:00,
Jindal,2016-01-26 00:00:00,
Perry,2016-01-26 00:00:00,
Graham,2016-01-26 00:00:00,
Pataki,2016-01-26 00:00:00,
Trump,2016-01-25 00:00:00,34.8
Cruz,2016-01-25 00:00:00,19.0
Rubio,2016-01-25 00:00:00,11.8
Carson,2016-01-25 00:00:00,8.5
Bush,2016-01-25 00:00:00,5.0
Christie,2016-01-25 00:00:00,3.5
Paul,2016-01-25 00:00:00,2.0
Kasich,2016-01-25 00:00:00,3.0
Huckabee,2016-01-25 00:00:00,2.5
Fiorina,2016-01-25 00:00:00,2.0
Santorum,2016-01-25 00:00:00,0.3
Walker,2016-01-25 00:00:00,
Jindal,2016-01-25 00:00:00,
Perry,2016-01-25 00:00:00,
Graham,2016-01-25 00:00:00,
Pataki,2016-01-25 00:00:00,
Trump,2016-01-24 00:00:00,34.8
Cruz,2016-01-24 00:00:00,19.0
Rubio,2016-01-24 00:00:00,11.8
Carson,2016-01-24 00:00:00,8.5
Bush,2016-01-24 00:00:00,5.0
Christie,2016-01-24 00:00:00,3.5
Paul,2016-01-24 00:00:00,2.0
Kasich,2016-01-24 00:00:00,3.0
Huckabee,2016-01-24 00:00:00,2.5
Fiorina,2016-01-24 00:00:00,2.0
Santorum,2016-01-24 00:00:00,0.3
Walker,2016-01-24 00:00:00,
Jindal,2016-01-24 00:00:00,
Perry,2016-01-24 00:00:00,
Graham,2016-01-24 00:00:00,
Pataki,2016-01-24 00:00:00,
Trump,2016-01-23 00:00:00,34.6
Cruz,2016-01-23 00:00:00,18.8
Rubio,2016-01-23 00:00:00,11.2
Carson,2016-01-23 00:00:00,8.4
Bush,2016-01-23 00:00:00,4.8
Christie,2016-01-23 00:00:00,3.6
Paul,2016-01-23 00:00:00,2.2
Kasich,2016-01-23 00:00:00,2.8
Huckabee,2016-01-23 00:00:00,2.2
Fiorina,2016-01-23 00:00:00,2.0
Santorum,2016-01-23 00:00:00,0.2
Walker,2016-01-23 00:00:00,
Jindal,2016-01-23 00:00:00,
Perry,2016-01-23 00:00:00,
Graham,2016-01-23 00:00:00,
Pataki,2016-01-23 00:00:00,
Trump,2016-01-22 00:00:00,34.6
Cruz,2016-01-22 00:00:00,18.8
Rubio,2016-01-22 00:00:00,11.2
Carson,2016-01-22 00:00:00,8.4
Bush,2016-01-22 00:00:00,4.8
Christie,2016-01-22 00:00:00,3.6
Paul,2016-01-22 00:00:00,2.2
Kasich,2016-01-22 00:00:00,2.8
Huckabee,2016-01-22 00:00:00,2.2
Fiorina,2016-01-22 00:00:00,2.0
Santorum,2016-01-22 00:00:00,0.2
Walker,2016-01-22 00:00:00,
Jindal,2016-01-22 00:00:00,
Perry,2016-01-22 00:00:00,
Graham,2016-01-22 00:00:00,
Pataki,2016-01-22 00:00:00,
Trump,2016-01-21 00:00:00,34.8
Cruz,2016-01-21 00:00:00,18.8
Rubio,2016-01-21 00:00:00,11.6
Carson,2016-01-21 00:00:00,8.8
Bush,2016-01-21 00:00:00,4.8
Christie,2016-01-21 00:00:00,3.4
Paul,2016-01-21 00:00:00,2.2
Kasich,2016-01-21 00:00:00,2.4
Huckabee,2016-01-21 00:00:00,2.0
Fiorina,2016-01-21 00:00:00,2.4
Santorum,2016-01-21 00:00:00,0.2
Walker,2016-01-21 00:00:00,
Jindal,2016-01-21 00:00:00,
Perry,2016-01-21 00:00:00,
Graham,2016-01-21 00:00:00,
Pataki,2016-01-21 00:00:00,
Trump,2016-01-20 00:00:00,34.8
Cruz,2016-01-20 00:00:00,18.8
Rubio,2016-01-20 00:00:00,11.6
Carson,2016-01-20 00:00:00,8.8
Bush,2016-01-20 00:00:00,4.8
Christie,2016-01-20 00:00:00,3.4
Paul,2016-01-20 00:00:00,2.2
Kasich,2016-01-20 00:00:00,2.4
Huckabee,2016-01-20 00:00:00,2.0
Fiorina,2016-01-20 00:00:00,2.4
Santorum,2016-01-20 00:00:00,0.2
Walker,2016-01-20 00:00:00,
Jindal,2016-01-20 00:00:00,
Perry,2016-01-20 00:00:00,
Graham,2016-01-20 00:00:00,
Pataki,2016-01-20 00:00:00,
Trump,2016-01-19 00:00:00,34.8
Cruz,2016-01-19 00:00:00,18.8
Rubio,2016-01-19 00:00:00,11.6
Carson,2016-01-19 00:00:00,8.8
Bush,2016-01-19 00:00:00,4.8
Christie,2016-01-19 00:00:00,3.4
Paul,2016-01-19 00:00:00,2.2
Kasich,2016-01-19 00:00:00,2.4
Huckabee,2016-01-19 00:00:00,2.0
Fiorina,2016-01-19 00:00:00,2.4
Santorum,2016-01-19 00:00:00,0.2
Walker,2016-01-19 00:00:00,
Jindal,2016-01-19 00:00:00,
Perry,2016-01-19 00:00:00,
Graham,2016-01-19 00:00:00,
Pataki,2016-01-19 00:00:00,
Trump,2016-01-18 00:00:00,34.5
Cruz,2016-01-18 00:00:00,19.3
Rubio,2016-01-18 00:00:00,11.8
Carson,2016-01-18 00:00:00,9.0
Bush,2016-01-18 00:00:00,4.8
Christie,2016-01-18 00:00:00,3.5
Paul,2016-01-18 00:00:00,2.3
Kasich,2016-01-18 00:00:00,2.3
Huckabee,2016-01-18 00:00:00,1.8
Fiorina,2016-01-18 00:00:00,2.8
Santorum,2016-01-18 00:00:00,0.0
Walker,2016-01-18 00:00:00,
Jindal,2016-01-18 00:00:00,
Perry,2016-01-18 00:00:00,
Graham,2016-01-18 00:00:00,
Pataki,2016-01-18 00:00:00,
Trump,2016-01-17 00:00:00,34.5
Cruz,2016-01-17 00:00:00,19.3
Rubio,2016-01-17 00:00:00,11.8
Carson,2016-01-17 00:00:00,9.0
Bush,2016-01-17 00:00:00,4.8
Christie,2016-01-17 00:00:00,3.5
Paul,2016-01-17 00:00:00,2.3
Kasich,2016-01-17 00:00:00,2.3
Huckabee,2016-01-17 00:00:00,1.8
Fiorina,2016-01-17 00:00:00,2.8
Santorum,2016-01-17 00:00:00,0.0
Walker,2016-01-17 00:00:00,
Jindal,2016-01-17 00:00:00,
Perry,2016-01-17 00:00:00,
Graham,2016-01-17 00:00:00,
Pataki,2016-01-17 00:00:00,
Trump,2016-01-16 00:00:00,34.5
Cruz,2016-01-16 00:00:00,19.3
Rubio,2016-01-16 00:00:00,11.8
Carson,2016-01-16 00:00:00,9.0
Bush,2016-01-16 00:00:00,4.8
Christie,2016-01-16 00:00:00,3.5
Paul,2016-01-16 00:00:00,2.3
Kasich,2016-01-16 00:00:00,2.3
Huckabee,2016-01-16 00:00:00,1.8
Fiorina,2016-01-16 00:00:00,2.8
Santorum,2016-01-16 00:00:00,0.0
Walker,2016-01-16 00:00:00,
Jindal,2016-01-16 00:00:00,
Perry,2016-01-16 00:00:00,
Graham,2016-01-16 00:00:00,
Pataki,2016-01-16 00:00:00,
Trump,2016-01-15 00:00:00,34.5
Cruz,2016-01-15 00:00:00,19.3
Rubio,2016-01-15 00:00:00,11.8
Carson,2016-01-15 00:00:00,9.0
Bush,2016-01-15 00:00:00,4.8
Christie,2016-01-15 00:00:00,3.5
Paul,2016-01-15 00:00:00,2.3
Kasich,2016-01-15 00:00:00,2.3
Huckabee,2016-01-15 00:00:00,1.8
Fiorina,2016-01-15 00:00:00,2.8
Santorum,2016-01-15 00:00:00,0.0
Walker,2016-01-15 00:00:00,
Jindal,2016-01-15 00:00:00,
Perry,2016-01-15 00:00:00,
Graham,2016-01-15 00:00:00,
Pataki,2016-01-15 00:00:00,
Trump,2016-01-14 00:00:00,34.5
Cruz,2016-01-14 00:00:00,19.3
Rubio,2016-01-14 00:00:00,11.8
Carson,2016-01-14 00:00:00,9.0
Bush,2016-01-14 00:00:00,4.8
Christie,2016-01-14 00:00:00,3.5
Paul,2016-01-14 00:00:00,2.3
Kasich,2016-01-14 00:00:00,2.3
Huckabee,2016-01-14 00:00:00,1.8
Fiorina,2016-01-14 00:00:00,2.8
Santorum,2016-01-14 00:00:00,0.0
Walker,2016-01-14 00:00:00,
Jindal,2016-01-14 00:00:00,
Perry,2016-01-14 00:00:00,
Graham,2016-01-14 00:00:00,
Pataki,2016-01-14 00:00:00,
Trump,2016-01-13 00:00:00,35.0
Cruz,2016-01-13 00:00:00,19.0
Rubio,2016-01-13 00:00:00,11.3
Carson,2016-01-13 00:00:00,8.0
Bush,2016-01-13 00:00:00,4.7
Christie,2016-01-13 00:00:00,3.0
Paul,2016-01-13 00:00:00,2.0
Kasich,2016-01-13 00:00:00,2.0
Huckabee,2016-01-13 00:00:00,2.0
Fiorina,2016-01-13 00:00:00,2.7
Santorum,2016-01-13 00:00:00,0.0
Walker,2016-01-13 00:00:00,
Jindal,2016-01-13 00:00:00,
Perry,2016-01-13 00:00:00,
Graham,2016-01-13 00:00:00,
Pataki,2016-01-13 00:00:00,
Trump,2016-01-12 00:00:00,35.0
Cruz,2016-01-12 00:00:00,19.0
Rubio,2016-01-12 00:00:00,11.3
Carson,2016-01-12 00:00:00,8.0
Bush,2016-01-12 00:00:00,4.7
Christie,2016-01-12 00:00:00,3.0
Paul,2016-01-12 00:00:00,2.0
Kasich,2016-01-12 00:00:00,2.0
Huckabee,2016-01-12 00:00:00,2.0
Fiorina,2016-01-12 00:00:00,2.7
Santorum,2016-01-12 00:00:00,0.0
