date,pro,con,cand
2016-01-09,10,0,Rand Paul
2016-01-10,10,0,Rand Paul
2016-01-16,9,0,Rand Paul
2015-11-20,6,0,Jeb Bush
2015-11-21,8,0,Jeb Bush
2015-11-22,8,0,Jeb Bush
2015-11-23,12,0,Jeb Bush
2015-11-24,19,0,Jeb Bush
2015-11-25,16,0,Jeb Bush
2015-11-26,8,0,Jeb Bush
2015-11-27,12,0,Jeb Bush
2015-11-28,8,0,Jeb Bush
2015-11-29,11,0,Jeb Bush
2015-11-30,20,0,Jeb Bush
2015-12-01,50,0,Jeb Bush
2015-12-02,42,0,Jeb Bush
2015-12-03,53,0,Jeb Bush
2015-12-04,53,0,Jeb Bush
2015-12-05,28,0,Jeb Bush
2015-12-06,42,0,Jeb Bush
2015-12-07,55,0,Jeb Bush
2015-12-08,59,3,Jeb Bush
2015-12-09,49,0,Jeb Bush
2015-12-10,58,0,Jeb Bush
2015-12-11,51,0,Jeb Bush
2015-12-12,23,0,Jeb Bush
2015-12-13,33,0,Jeb Bush
2015-12-14,57,0,Jeb Bush
2015-12-15,50,0,Jeb Bush
2015-12-16,51,0,Jeb Bush
2015-12-17,47,0,Jeb Bush
2015-12-18,38,0,Jeb Bush
2015-12-19,24,0,Jeb Bush
2015-12-20,31,0,Jeb Bush
2015-12-21,53,0,Jeb Bush
2015-12-22,49,0,Jeb Bush
2015-12-23,50,0,Jeb Bush
2015-12-24,29,0,Jeb Bush
2015-12-25,15,0,Jeb Bush
2015-12-26,16,0,Jeb Bush
2015-12-27,30,0,Jeb Bush
2015-12-28,51,0,Jeb Bush
2015-12-29,45,0,Jeb Bush
2015-12-30,48,0,Jeb Bush
2015-12-31,37,0,Jeb Bush
2016-01-01,17,0,Jeb Bush
2016-01-02,22,0,Jeb Bush
2016-01-03,24,0,Jeb Bush
2016-01-04,47,0,Jeb Bush
2016-01-05,67,0,Jeb Bush
2016-01-06,77,0,Jeb Bush
2016-01-07,64,0,Jeb Bush
2016-01-08,65,0,Jeb Bush
2016-01-09,54,12,Jeb Bush
2016-01-10,50,33,Jeb Bush
2016-01-11,59,61,Jeb Bush
2016-01-12,66,52,Jeb Bush
2016-01-13,68,36,Jeb Bush
2016-01-14,80,18,Jeb Bush
2016-01-15,82,30,Jeb Bush
2016-01-16,65,20,Jeb Bush
2016-01-17,63,33,Jeb Bush
2016-01-18,89,40,Jeb Bush
2016-01-19,95,49,Jeb Bush
2016-01-20,71,18,Jeb Bush
2016-01-21,51,8,Jeb Bush
2016-01-22,27,13,Jeb Bush
2016-01-23,22,13,Jeb Bush
2016-01-24,6,14,Jeb Bush
2016-01-25,3,24,Jeb Bush
2016-01-26,0,0,Jeb Bush
2016-01-27,25,64,Jeb Bush
2016-01-28,64,61,Jeb Bush
2016-01-29,67,54,Jeb Bush
2016-01-30,42,31,Jeb Bush
2016-01-31,50,16,Jeb Bush
2016-02-01,40,11,Jeb Bush
2015-12-08,0,0,Donald Trump
2015-12-09,0,0,Donald Trump
2015-12-10,0,0,Donald Trump
2015-12-11,0,0,Donald Trump
2015-12-12,0,0,Donald Trump
2015-12-13,0,0,Donald Trump
2015-12-14,0,0,Donald Trump
2015-12-15,0,0,Donald Trump
2015-12-16,0,0,Donald Trump
2015-12-17,1,36,Donald Trump
2015-12-18,2,50,Donald Trump
2015-12-19,0,0,Donald Trump
2015-12-20,0,0,Donald Trump
2015-12-21,0,0,Donald Trump
2015-12-22,0,0,Donald Trump
2015-12-23,0,0,Donald Trump
2015-12-24,0,0,Donald Trump
2015-12-25,0,0,Donald Trump
2015-12-26,0,0,Donald Trump
2015-12-27,0,0,Donald Trump
2015-12-28,0,0,Donald Trump
2015-12-29,0,0,Donald Trump
2015-12-30,0,0,Donald Trump
2015-12-31,0,0,Donald Trump
2016-01-01,0,0,Donald Trump
2016-01-02,0,0,Donald Trump
2016-01-03,0,0,Donald Trump
2016-01-04,2,2,Donald Trump
2016-01-05,16,11,Donald Trump
2016-01-06,39,7,Donald Trump
2016-01-07,39,2,Donald Trump
2016-01-08,45,0,Donald Trump
2016-01-09,23,12,Donald Trump
2016-01-10,20,33,Donald Trump
2016-01-11,39,61,Donald Trump
2016-01-12,26,52,Donald Trump
2016-01-13,25,36,Donald Trump
2016-01-14,21,19,Donald Trump
2016-01-15,38,23,Donald Trump
2016-01-16,13,9,Donald Trump
2016-01-17,16,15,Donald Trump
2016-01-18,44,14,Donald Trump
2016-01-19,52,22,Donald Trump
2016-01-20,48,5,Donald Trump
2016-01-21,47,13,Donald Trump
2016-01-22,30,5,Donald Trump
2016-01-23,10,0,Donald Trump
2016-01-24,19,0,Donald Trump
2016-01-25,26,0,Donald Trump
2016-01-26,23,0,Donald Trump
2016-01-27,28,0,Donald Trump
2016-01-28,34,0,Donald Trump
2016-01-29,37,0,Donald Trump
2016-01-30,17,0,Donald Trump
2016-01-31,13,0,Donald Trump
2016-02-01,12,0,Donald Trump
2015-12-01,14,0,Marco Rubio
2015-12-02,14,0,Marco Rubio
2015-12-03,21,0,Marco Rubio
2015-12-04,23,0,Marco Rubio
2015-12-05,8,0,Marco Rubio
2015-12-06,9,0,Marco Rubio
2015-12-07,9,0,Marco Rubio
2015-12-08,13,24,Marco Rubio
2015-12-09,18,23,Marco Rubio
2015-12-10,26,33,Marco Rubio
2015-12-11,25,29,Marco Rubio
2015-12-12,10,12,Marco Rubio
2015-12-13,13,21,Marco Rubio
2015-12-14,17,31,Marco Rubio
2015-12-15,34,25,Marco Rubio
2015-12-16,43,34,Marco Rubio
2015-12-17,49,36,Marco Rubio
2015-12-18,39,36,Marco Rubio
2015-12-19,30,12,Marco Rubio
2015-12-20,26,16,Marco Rubio
2015-12-21,29,29,Marco Rubio
2015-12-22,51,12,Marco Rubio
2015-12-23,48,7,Marco Rubio
2015-12-24,56,1,Marco Rubio
2015-12-25,43,0,Marco Rubio
2015-12-26,26,3,Marco Rubio
2015-12-27,32,4,Marco Rubio
2015-12-28,37,7,Marco Rubio
2015-12-29,47,14,Marco Rubio
2015-12-30,54,11,Marco Rubio
2015-12-31,41,13,Marco Rubio
2016-01-01,39,6,Marco Rubio
2016-01-02,23,1,Marco Rubio
2016-01-03,30,5,Marco Rubio
